x,y,movement_distance,area_weighted_coverage,uniform_r_alpha_coverage,area_rank,uniform_rank
687.0,440.5,816.0938977838273,0.2617486338797814,0.36666666666666664,87,1509
632.0,480.0,793.6145159962739,0.24808743169398906,0.4111111111111111,2570,87
687.0,441.5,816.6340979900361,0.2617486338797814,0.36666666666666664,88,1510
631.0,474.0,789.2002280790344,0.24808743169398906,0.4111111111111111,2571,88
687.0,442.5,817.1751648208602,0.2617486338797814,0.36666666666666664,89,1511
630.5,470.5,786.7022943909595,0.24808743169398906,0.4111111111111111,2572,89
687.5,436.0,814.0959710009625,0.2617486338797814,0.36666666666666664,90,1512
630.5,471.0,787.0014294777361,0.24808743169398906,0.4111111111111111,2573,90
687.5,436.5,814.3638621648188,0.2617486338797814,0.36666666666666664,91,1513
631.0,473.5,788.9000253517552,0.24808743169398906,0.4111111111111111,2574,91
687.5,437.0,814.6319721199261,0.2617486338797814,0.36666666666666664,92,1514
631.5,476.5,791.1033434387697,0.24808743169398906,0.4111111111111111,2575,92
687.5,437.5,814.9003006503311,0.2617486338797814,0.36666666666666664,93,1515
631.5,477.0,791.4046057485388,0.24808743169398906,0.4111111111111111,2576,93
687.5,438.0,815.1688475401891,0.2617486338797814,0.36666666666666664,94,1516
632.0,479.5,793.3122020995265,0.24808743169398906,0.4111111111111111,2577,94
687.5,438.5,815.437612573764,0.2617486338797814,0.36666666666666664,95,1517
630.0,467.0,784.2123436927017,0.2479313036690086,0.4103174603174603,2622,95
687.5,439.0,815.7065955354291,0.2617486338797814,0.36666666666666664,96,1518
631.0,473.0,788.6000253613995,0.2479313036690086,0.4103174603174603,2623,96
687.5,439.5,815.975796209667,0.2617486338797814,0.36666666666666664,97,1519
632.0,479.0,793.0100882082144,0.2479313036690086,0.4103174603174603,2624,97
687.5,440.0,816.2452143810707,0.2617486338797814,0.36666666666666664,98,1520
630.5,469.5,786.1046368009796,0.2479313036690086,0.4103174603174603,2625,98
687.5,440.5,816.5148498343432,0.2617486338797814,0.36666666666666664,99,1521
630.5,470.0,786.4033634210881,0.2479313036690086,0.4103174603174603,2626,99
