stage,d1,d2,beta_deg,sensor_x,sensor_y,worst_diameter,mean_diameter,worst_epsilon,bounded_all,diameter_pass_all,circle_pass_all,clear_ready_all,epsilon_count
coarse,200.0,200.0,91.7,205.93324881702216,-199.9119720238768,10.027548796648183,10.021347412371727,1.0,True,True,False,False,101
coarse,200.0,200.0,91.75,206.10770264196455,-199.90671816734258,10.03221193873301,10.025854787155541,1.0,True,True,False,False,101
coarse,200.0,200.0,91.8,206.28215181562567,-199.90131207314633,10.036881201981798,10.030368130432796,1.0,True,True,False,False,101
coarse,200.0,200.0,91.85,206.45659620515488,-199.89575374540496,10.041556596707865,10.034887451987595,1.0,True,True,False,False,101
coarse,200.0,200.0,91.9,206.63103567770528,-199.89004318835143,10.046238133248522,10.03941276162664,1.0,True,True,False,False,101
coarse,200.0,200.0,91.95,206.8054701004335,-199.88418040633456,10.050925821964963,10.043944069179227,1.0,True,True,False,False,101
coarse,200.0,200.0,92.0,206.9798993405002,-199.87816540381914,10.055619673241983,10.048481384497393,1.0,True,True,False,False,101
coarse,200.0,200.0,92.05,207.1543232650699,-199.87199818538585,10.060319697488486,10.0530247174559,1.0,True,True,False,False,101
coarse,200.0,200.0,92.1,207.32874174131123,-199.86567875573124,10.065025905137281,10.057574077952358,1.0,True,True,False,False,101
coarse,200.0,200.0,92.15,207.50315463639697,-199.85920711966793,10.06973830664528,10.06212947590725,1.0,True,True,False,False,101
coarse,200.0,200.0,92.2,207.677561817504,-199.85258328212424,10.074456912493488,10.066690921264023,1.0,True,True,False,False,101
coarse,200.0,200.0,92.25,207.85196315181372,-199.84580724814458,10.079181733187115,10.071258423989134,1.0,True,True,False,False,101
coarse,200.0,200.0,92.3,208.0263585065119,-199.8388790228892,10.083912779255638,10.075831994072141,1.0,True,True,False,False,101
coarse,200.0,200.0,92.35,208.20074774878898,-199.8317986116342,10.088650061252954,10.080411641525737,1.0,True,True,False,False,101
coarse,200.0,200.0,92.4,208.37513074583993,-199.82456601977168,10.093393589757202,10.084997376385852,1.0,True,True,False,False,101
coarse,200.0,200.0,92.45,208.54950736486444,-199.81718125280952,10.098143375371178,10.089589208711667,1.0,True,True,False,False,101
coarse,200.0,200.0,92.5,208.72387747306718,-199.80964431637156,10.102899428722152,10.094187148585743,1.0,True,True,False,False,101
coarse,200.0,200.0,92.55,208.89824093765773,-199.8019552161975,10.107661760462051,10.09879120611403,1.0,True,True,False,False,101
coarse,200.0,200.0,92.6,209.0725976258507,-199.79411395814296,10.112430381267478,10.10340139142598,1.0,True,True,False,False,101
coarse,200.0,200.0,92.65,209.24694740486603,-199.78612054817933,10.11720530183973,10.108017714674585,1.0,True,True,False,False,101
coarse,200.0,200.0,92.7,209.42129014192855,-199.777974992394,10.121986532905074,10.112640186036455,1.0,True,True,False,False,101
coarse,200.0,200.0,92.75,209.5956257042688,-199.76967729699012,10.12677408521467,10.117268815711869,1.0,True,True,False,False,101
coarse,200.0,200.0,92.8,209.76995395912266,-199.76122746828682,10.13156796954461,10.12190361392489,1.0,True,True,False,False,101
coarse,200.0,200.0,92.85,209.94427477373156,-199.75262551271894,10.136368196696122,10.126544590923361,1.0,True,True,False,False,101
coarse,200.0,200.0,92.9,210.11858801534268,-199.74387143683722,10.141174777495467,10.131191756979044,1.0,True,True,False,False,101
coarse,200.0,200.0,92.95,210.29289355120883,-199.7349652473084,10.145987722794112,10.135845122387632,1.0,True,True,False,False,101
coarse,200.0,200.0,93.0,210.46719124858876,-199.72590695091478,10.15080704346894,10.140504697468856,1.0,True,True,True,True,101
refined,200.0,200.0,90.9,203.14146346236416,-199.97532649633212,9.971766156499369,9.950874576634423,-1.0,True,True,False,False,201
refined,200.0,200.0,90.91,203.1763656930408,-199.974775161729,9.970878668646733,9.95164009119189,-1.0,True,True,False,False,201
refined,200.0,200.0,90.92,203.2112678269599,-199.97421773554592,9.969991415039868,9.952414481689335,-1.0,True,True,False,False,201
refined,200.0,200.0,90.93,203.24616986305816,-199.97365421779983,9.969104395602725,9.953197748886616,-1.0,True,True,False,False,201
refined,200.0,200.0,90.94,203.2810718002724,-199.9730846085079,9.968217610259332,9.95398989354375,-1.0,True,True,False,False,201
refined,200.0,200.0,90.95,203.3159736375395,-199.97250890768748,9.96733105893383,9.954790916420924,-1.0,True,True,False,False,201
refined,200.0,200.0,90.96,203.35087537379624,-199.97192711535607,9.966444741550346,9.955600818278473,-1.0,True,True,False,False,201
refined,200.0,200.0,90.97,203.38577700797953,-199.9713392315315,9.965558658032922,9.956419599876895,-1.0,True,True,False,False,201
refined,200.0,200.0,90.98,203.42067853902614,-199.97074525623154,9.964672808305853,9.957247261976837,-1.0,True,True,False,False,201
refined,200.0,200.0,90.99,203.45557996587291,-199.97014518947435,9.963787192293244,9.958083805339122,-1.0,True,True,False,False,201
refined,200.0,200.0,91.0,203.4904812874567,-199.96953903127826,9.962901809919511,9.958929230724712,1.0,True,True,False,False,201
refined,200.0,200.0,91.01,203.52538250271434,-199.96892678166165,9.963817035179591,9.95978353889473,1.0,True,True,False,False,201
refined,200.0,200.0,91.02,203.5602836105827,-199.9683084406432,9.964732499289724,9.96064673061047,1.0,True,True,False,False,201
refined,200.0,200.0,91.03,203.59518460999863,-199.96768400824178,9.96564820232949,9.961518806633366,1.0,True,True,False,False,201
refined,200.0,200.0,91.04,203.630085499899,-199.96705348447634,9.966564144378683,9.96239976772502,1.0,True,True,False,False,201
refined,200.0,200.0,91.05,203.66498627922053,-199.96641686936616,9.967480325517046,9.963285199759838,1.0,True,True,False,False,201
refined,200.0,200.0,91.06,203.6998869469003,-199.9657741629306,9.968396745824316,9.96417086514785,1.0,True,True,False,False,201
refined,200.0,200.0,91.07,203.73478750187502,-199.9651253651892,9.969313405380463,9.965056763964787,1.0,True,True,False,False,201
refined,200.0,200.0,91.08,203.7696879430816,-199.9644704761618,9.97023030426526,9.965942896286409,1.0,True,True,False,False,201
refined,200.0,200.0,91.09,203.80458826945699,-199.9638094958683,9.971147442558634,9.966829262188512,1.0,True,True,False,False,201
refined,200.0,200.0,91.1,203.8394884799379,-199.96314242432885,9.972064820340545,9.967715861746932,1.0,True,True,False,False,201
coarse,200.0,400.0,88.0,186.04020131899958,-399.7563308076383,16.092217191609038,15.846399219848331,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.05,186.38905979913295,-399.76836081266913,16.08579474228344,15.840536189271441,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.1,186.7379286445894,-399.78008637670285,16.079383187464693,15.834683621797607,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.15,187.08680758969027,-399.7915074908099,16.072982512901,15.828841505523052,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.2,187.43569636874872,-399.80262414629266,16.066592704385236,15.823009828585882,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.25,187.78459471607096,-399.81343633468515,16.060213747754364,15.817188579165984,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.3,188.1335023659557,-399.8239440477536,16.053845628889672,15.811377745484961,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.35,188.48241905269458,-399.83414727749584,16.04748833371668,15.805577315806092,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.4,188.8313445105725,-399.84404601614176,16.041141848204795,15.799787278434195,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.45,189.1802784738673,-399.8536402561529,16.034806158367548,15.794007621715611,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.5,189.52922067685074,-399.8629299902229,16.02848125026218,15.788238334038104,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.55,189.8781708537881,-399.87191521127727,16.022167109989628,15.78247940383081,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.6,190.2271287389387,-399.88059591247327,16.015863723694693,15.776730819564117,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.65,190.57609406655598,-399.8889720872002,16.00957107756559,15.77099256974965,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.7,190.92506657088745,-399.8970437290793,16.003289157834022,15.76526464294018,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.75,191.27404598617554,-399.90481083196363,15.997017950775065,15.759547027729553,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.8,191.6230320466572,-399.9122733899382,15.990757442707165,15.7538397127526,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.85,191.97202448656432,-399.9194313973199,15.98450761999185,15.748142686685089,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.9,192.32102304012415,-399.9262848486577,15.978268469033702,15.74245593824367,-1.0,True,True,True,True,101
coarse,200.0,400.0,88.95,192.67002744155886,-399.9328337387323,15.972039976280483,15.736779456185772,-1.0,True,True,True,True,101
coarse,200.0,400.0,89.0,193.01903742508657,-399.9390780625565,15.96582212822283,15.731113229309553,-1.0,True,True,True,True,101
coarse,200.0,400.0,89.05,193.36805272492094,-399.94501781537497,15.959614911393913,15.725468643606602,-1.0,True,True,False,False,101
coarse,200.0,400.0,89.1,193.71707307527166,-399.95065299266423,15.953418312370154,15.720034769977062,-1.0,True,True,False,False,101
coarse,200.0,400.0,89.15,194.06609821034462,-399.955983590133,15.947232317770203,15.714875155444107,-1.0,True,True,False,False,101
coarse,200.0,400.0,89.2,194.41512786434186,-399.9610096037217,15.941056914255334,15.70998802632767,-1.0,True,True,False,False,101
coarse,200.0,400.0,89.25,194.76416177146217,-399.9657310296028,15.93489208852943,15.705376118018886,-1.0,True,True,False,False,101
coarse,200.0,400.0,89.3,195.11319966590113,-399.9701478641808,15.928737827338823,15.701037235529949,-1.0,True,True,False,False,101
coarse,200.0,400.0,89.35,195.46224128185108,-399.974260104092,15.922594117471625,15.696974535107433,-1.0,True,True,False,False,101
coarse,200.0,400.0,89.4,195.81128635350174,-399.97806774620483,15.916460945758677,15.693185401584795,-1.0,True,True,False,False,101
coarse,200.0,400.0,89.45,196.16033461503997,-399.9815707876196,15.910338299072691,15.68967341093512,-1.0,True,True,False,False,101
coarse,200.0,400.0,89.5,196.50938580065045,-399.9847692256685,15.904226164328518,15.68643552894663,-1.0,True,True,False,False,101
coarse,200.0,400.0,89.55,196.85843964451547,-399.9876630579159,15.898124528482809,15.68347575018543,-1.0,True,True,False,False,101
coarse,200.0,400.0,89.6,197.20749588081534,-399.9902522821579,15.89203337853424,15.680790622532554,-1.0,True,True,False,False,101
coarse,200.0,400.0,89.65,197.5565542437287,-399.99253689642285,15.885952701523097,15.678384558009137,-1.0,True,True,False,False,101
coarse,200.0,400.0,89.7,197.90561446743217,-399.9945168989707,15.87988248453134,15.676253687731528,-1.0,True,True,False,False,101
coarse,200.0,400.0,89.75,198.25467628610136,-399.9961922882938,15.873822714682696,15.674402840033435,-1.0,True,True,False,False,101
coarse,200.0,400.0,89.8,198.60373943391048,-399.99756306311616,15.867773379142156,15.672827730413513,-1.0,True,True,False,False,101
coarse,200.0,400.0,89.85,198.95280364503276,-399.9986292223939,15.861734465116358,15.671533602371055,-1.0,True,True,False,False,101
coarse,200.0,400.0,89.9,199.3018686536407,-399.99939076531507,15.855705959853186,15.6705157569385,-1.0,True,True,False,False,101
coarse,200.0,400.0,89.95,199.65093419390593,-399.99984769129975,15.849687850641686,15.669779851629286,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.0,199.99999999999997,-400.0,15.84368012481229,15.66932077416556,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.05,200.34906580609402,-399.99984769129975,15.837682769736334,15.669144594919008,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.1,200.69813134635925,-399.99939076531507,15.831695772826292,15.669245789461833,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.15,201.04719635496718,-399.9986292223939,15.82571912153537,15.669630839863625,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.2,201.39626056608947,-399.99756306311616,15.81975280335789,15.670293810711453,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.25,201.74532371389859,-399.9961922882938,15.813796805828762,15.671241594608022,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.3,202.09438553256777,-399.9945168989707,15.807851116523654,15.672467846324466,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.35,202.44344575627125,-399.99253689642285,15.801915723058704,15.67397986782741,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.4,202.79250411918468,-399.9902522821579,15.795990613090883,15.675770905245672,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.45,203.1415603554846,-399.9876630579159,15.790075774317136,15.677848668736164,-1.0,True,True,False,False,101
