pareto_index,stage,resolution_m,x,y,movement_distance,guaranteed_receive_coverage,possible_receive_coverage,near_area_coverage,direction_available_coverage,clear_ready_coverage,operational_good_coverage,uniform_guaranteed_receive_coverage,uniform_clear_ready_coverage,uniform_operational_good_coverage,worst_diameter_median,worst_diameter_mean,worst_diameter_p90,worst_diameter_p95,worst_diameter_max,unbounded_fraction_of_direction_area,mean_abs_orthogonality_error_deg,orthogonal_80_100_area_coverage,target_sample_count,epsilon_sample_count
343,final_refine_2m,2.0,634.0,406.0,752.8558959057171,1.0,1.0,0.0,1.0,0.2454072339318241,0.2454072339318241,1.0,0.3865079365079365,0.3865079365079365,82.64835085241594,96.1621017973208,188.23396895739856,203.59441061132927,237.86016572426786,0.0,42.74129657163128,0.08360655737704918,1260,9
344,final_refine_2m,2.0,638.0,400.0,753.023240013215,1.0,1.0,0.0,1.0,0.24873796513140775,0.24873796513140775,1.0,0.3896825396825397,0.3896825396825397,82.63294240595388,96.48543331866468,189.2881499780152,204.97349836387258,239.99217113008436,0.0,42.94676778594954,0.0824095758521988,1260,9
345,final_refine_2m,2.0,648.0,384.0,753.2330316708103,1.0,1.0,0.0,1.0,0.2526411657559198,0.2526411657559198,1.0,0.37857142857142856,0.37857142857142856,82.75313304009285,97.54501308216832,193.06442682769006,209.13958254480755,246.38232256731249,0.0,43.53645562787142,0.07343221441582097,1260,9
346,final_refine_2m,2.0,636.0,404.0,753.4666548693446,1.0,1.0,0.0,1.0,0.24707259953161592,0.24707259953161592,1.0,0.3880952380952381,0.3880952380952381,82.5292418926896,96.17286456836626,188.39360459576577,203.84485527482514,238.3169310191641,0.0,42.786649958289665,0.08360655737704918,1260,9
347,final_refine_2m,2.0,646.0,388.0,753.5648611765281,1.0,1.0,0.0,1.0,0.25214676034348166,0.25214676034348166,1.0,0.38095238095238093,0.38095238095238093,82.62847674059473,97.1920718103969,192.0259253479041,207.8985082699654,244.5264516936769,0.0,43.36768182649361,0.07582617746552173,1260,9
348,final_refine_2m,2.0,640.0,398.0,753.660400976461,1.0,1.0,0.0,1.0,0.2491543065313557,0.2491543065313557,1.0,0.38412698412698415,0.38412698412698415,82.51532212760169,96.50163381726009,189.52832473604454,205.23896547728626,240.47378427586656,0.0,42.992731621614524,0.08061410356492324,1260,9
349,final_refine_2m,2.0,630.0,414.0,753.8540972893893,1.0,1.0,0.0,1.0,0.24553734061930782,0.24553734061930782,1.0,0.3984126984126984,0.3984126984126984,82.45999039129735,95.57543406248443,186.49861656863797,201.4391250236899,234.67175682522608,0.0,42.427982374802845,0.08168097840228988,1260,9
350,final_refine_2m,2.0,638.0,402.0,754.0875280761511,1.0,1.0,0.0,1.0,0.24873796513140775,0.24873796513140775,1.0,0.3896825396825397,0.3896825396825397,82.41031181066958,96.18518931703831,188.5561455023146,204.0993880450448,238.78062732753298,0.0,42.83203665748849,0.0824095758521988,1260,9
351,final_refine_2m,2.0,648.0,386.0,754.2545989253231,1.0,1.0,0.0,1.0,0.2539422326307572,0.2539422326307572,1.0,0.38095238095238093,0.38095238095238093,82.51411549080319,97.22000661045074,192.2465195382023,208.19643048586724,245.0621636221613,0.0,43.41729231074922,0.07403070517824616,1260,9
352,final_refine_2m,2.0,636.0,406.0,754.5409200301863,1.0,1.0,0.0,1.0,0.24707259953161592,0.24707259953161592,1.0,0.3880952380952381,0.3880952380952381,82.31095472315329,95.87878382837494,187.69261815912708,202.98764783994054,237.13155727723958,0.0,42.67299216458799,0.08360655737704918,1260,9
