rank,stage,resolution_m,x,y,movement_distance,guaranteed_receive_coverage,possible_receive_coverage,near_area_coverage,direction_available_coverage,clear_ready_coverage,operational_good_coverage,uniform_guaranteed_receive_coverage,uniform_clear_ready_coverage,uniform_operational_good_coverage,worst_diameter_median,worst_diameter_mean,worst_diameter_p90,worst_diameter_p95,worst_diameter_max,unbounded_fraction_of_direction_area,mean_abs_orthogonality_error_deg,orthogonal_80_100_area_coverage,target_sample_count,epsilon_sample_count
34,final_refine_1m,1.0,689.0,450.0,822.9343837755231,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.35774568474874,84.00278622077212,159.27741166223026,171.769917030175,198.09962284213944,0.0,38.51119654794832,0.09078844652615145,1260,9
35,final_refine_1m,1.0,690.0,449.0,823.2259714076081,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.2843187717253,83.98527146941407,159.29990399177345,171.8018987357004,198.2003598985658,0.0,38.52926588052587,0.09016393442622951,1260,9
36,final_refine_1m,1.0,688.0,450.0,822.0973178401691,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.48262512702911,84.11428934588065,159.52067341610692,172.0130403446849,198.40081972990927,0.0,38.544255733605226,0.09141295862607338,1260,9
37,final_refine_1m,1.0,689.0,449.0,822.3879862935742,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.4092770569101,84.09684351282397,159.54528769860843,172.04539949468094,198.50215536630628,0.0,38.5624481968896,0.09078844652615145,1260,9
38,final_refine_1m,1.0,690.0,448.0,822.6809831277249,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.33591250118951,84.07963886589783,159.57034116740357,172.07820831622067,198.60435654961495,0.0,38.58063227540593,0.09016393442622951,1260,9
39,final_refine_1m,1.0,688.0,449.0,821.5503636418159,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.53447021037994,84.20864336786863,159.7909259337427,172.28912772924303,198.8042456452168,0.0,38.59551142726754,0.09141295862607338,1260,9
40,final_refine_1m,1.0,689.0,448.0,821.842442320911,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.46118547320924,84.19150879804005,159.81638928425076,172.3223162851944,198.9070494902234,0.0,38.613818932098745,0.09078844652615145,1260,9
41,final_refine_1m,1.0,688.0,448.0,821.00426308272,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.58669392149095,84.30360593641684,160.062692626668,172.56665229980024,199.2100381874082,0.0,38.64688611656575,0.09141295862607338,1260,9
42,final_refine_1m,1.0,689.0,447.0,821.2977535583548,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.5134736310427,84.28678458172216,160.08901283573815,172.60067728417062,199.3143241319041,0.0,38.66530913981752,0.09016393442622951,1260,9
43,final_refine_1m,1.0,688.0,447.0,820.4590178674374,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.63929896873606,84.39917881323622,160.33598469334842,172.8456239588839,199.61821631654664,0.0,38.6983801871785,0.09078844652615145,1260,9
44,final_refine_1m,1.0,689.0,446.0,820.7539217085715,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.56614425305314,84.3826733197321,160.36316963503035,172.88049246408153,199.72399841001996,0.0,38.71691920799067,0.09016393442622951,1260,9
45,final_refine_1m,1.0,688.0,446.0,819.9146297023856,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.69228808583208,84.49536853075247,160.61081344151418,173.12605269924296,200.02879919380922,0.0,38.74999402648437,0.09078844652615145,1260,9
46,final_refine_1m,1.0,689.0,445.0,820.2109484760613,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.61920008741616,84.47918309029373,160.63887107443406,173.1617718884556,200.13609164654895,0.0,38.76864952627649,0.09016393442622951,1260,9
47,final_refine_0p5m,0.5,689.0,444.5,819.9397843744381,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.64587332508789,84.52767200428607,160.77730462477223,173.30342084166236,200.34305146859785,0.0,38.794559901451045,0.09016393442622951,1260,9
48,final_refine_1m,1.0,688.0,445.0,819.3711002958305,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.74566403212404,84.59218058440138,160.88719028950325,173.4108895323391,200.441806184174,0.0,38.80172802357255,0.09078844652615145,1260,9
49,final_refine_0p5m,0.5,688.5,444.5,819.5196763958752,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.70915593337655,84.58421619998087,160.90160152484327,173.4370952818487,200.4961007571095,0.0,38.81111515130811,0.09016393442622951,1260,9
50,final_refine_0p5m,0.5,689.0,444.0,819.6688355671454,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.67264390813108,84.5763175406607,160.91612865793277,173.4634490479081,200.55062336949467,0.0,38.8205004860575,0.09016393442622951,1260,9
51,final_refine_0p5m,0.5,688.0,444.5,819.0996581613254,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.77249793559697,84.64082053982702,161.02596284973774,173.5708375607906,200.64922482971224,0.0,38.82764020334573,0.09078844652615145,1260,9
52,final_refine_0p5m,0.5,688.5,444.0,819.2485886469381,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.7360070149339,84.63293751295323,161.0405954557004,173.5973124312247,200.7039026614682,0.0,38.83705665114426,0.09016393442622951,1260,9
53,final_refine_0p5m,0.5,689.0,443.5,819.398102267756,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.6995121873787,84.6251192964291,161.05534462959577,173.62393616465644,200.75880982288098,0.0,38.84647132928986,0.09016393442622951,1260,9
54,final_refine_0p5m,0.5,687.5,444.5,818.6797298089161,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.83589931996175,84.69747986426708,161.15038859996034,173.70464768059585,200.80242369179047,0.0,38.844135069266905,0.09078844652615145,1260,9
55,final_refine_0p5m,0.5,688.0,444.0,818.8284313578761,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.79942959288582,84.68961668037682,161.16512676761013,173.73124375283993,200.8572568591124,0.0,38.85358256925344,0.09078844652615145,1260,9
56,final_refine_0p5m,0.5,688.5,443.5,818.9777164245679,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.76295599755437,84.68181618670302,161.17998176400252,173.75798899635436,200.9123197733746,0.0,38.86302839797614,0.09016393442622951,1260,9
57,final_refine_0p5m,0.5,689.0,443.0,819.1275846899554,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.72647851531656,84.67407876813131,161.19495400258444,173.78488395450918,200.96761331562257,0.0,38.872472480451236,0.09016393442622951,1260,9
58,final_refine_0p5m,0.5,687.5,444.0,818.4083638380048,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.862911630155,84.7463531662677,161.2897225941847,173.86524301489814,201.0106859678553,0.0,38.870078252124245,0.09078844652615145,1260,9
59,final_refine_0p5m,0.5,688.0,443.5,818.557420099531,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.82645935624991,84.73857035321345,161.30468350212246,173.89210986619722,201.06590475152967,0.0,38.8795551704177,0.09078844652615145,1260,9
60,final_refine_0p5m,0.5,688.5,443.0,818.7070599426879,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.79000323444038,84.73085277808336,161.31976191424647,173.91912674184144,201.12135458246348,0.0,38.889030441070936,0.09016393442622951,1260,9
61,final_refine_0p5m,0.5,687.5,443.5,818.1372134306079,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.89002225158647,84.79538418724071,161.42944984450534,174.02629877636187,201.21956476280593,0.0,38.896051658390014,0.09078844652615145,1260,9
62,final_refine_0p5m,0.5,688.0,443.0,818.2866246004513,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.85358757960543,84.78768275964278,161.44463451945472,174.05343766746782,201.2751709993631,0.0,38.90555805606944,0.09078844652615145,1260,9
63,final_refine_0p5m,0.5,688.5,442.5,818.4366194153338,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.81714908045412,84.78004742668851,161.45993737814106,174.08072744124013,201.33100959169823,0.0,38.9150628298052,0.09016393442622951,1260,9
64,final_refine_0p5m,0.5,687.5,443.0,817.8662788011253,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.91723153888648,84.84457253777659,161.56957181877812,174.18781673359842,201.42906257181932,0.0,38.92205533725854,0.09078844652615145,1260,9
65,final_refine_0p5m,0.5,688.0,442.5,818.0160450749117,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.88081461853477,84.83695438015134,161.5849812929923,174.21522893221822,201.48505810836926,0.0,38.93159127554884,0.09016393442622951,1260,9
66,final_refine_0p5m,0.5,688.5,442.0,818.1663950566535,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.8443938921323,84.82940072307672,161.60050963464562,174.24279287711522,201.54128731745297,0.0,38.941125613665214,0.09016393442622951,1260,9
67,final_refine_0p5m,0.5,687.5,442.5,817.5955601640703,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.94453984835633,84.89391963183007,161.7100899920714,174.3497986641867,201.6391819034423,0.0,38.94808933803331,0.09078844652615145,1260,9
68,final_refine_0p5m,0.5,688.0,442.0,817.745681737299,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.9081408302956,84.88638528294949,161.72572530338525,174.3774854450326,201.69556859772436,0.0,38.95765487830571,0.09016393442622951,1260,9
69,final_refine_0p5m,0.5,688.5,441.5,817.8963870809065,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.87173802769647,84.87891368502795,161.74148017000394,174.40532484108238,201.75219028960913,0.0,38.96721884224726,0.09016393442622951,1260,9
70,final_refine_0p5m,0.5,687.0,442.5,817.1751648208602,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,72.00832475795707,84.95094375590807,161.8352634760036,174.48443663940316,201.7933809824825,0.0,38.96455702921684,0.09078844652615145,1260,9
71,final_refine_0p5m,0.5,687.5,442.0,817.3250577340694,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.97194753797967,84.94342634520197,161.85100584672944,174.51224635473483,201.84992527965488,0.0,38.97415371012736,0.09078844652615145,1260,9
72,final_refine_0p5m,0.5,688.0,441.5,817.4755348021126,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.93556657383446,84.93597597914312,161.8668680385833,174.54020899956123,201.9067050001271,0.0,38.983748913899824,0.09016393442622951,1260,9
73,final_refine_0p5m,0.5,688.5,441.0,817.6265957024636,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.89918184705732,84.92858779028668,161.88285047781497,174.56832513388895,201.96372105164355,0.0,38.99334256525805,0.09016393442622951,1260,9
74,final_refine_0p5m,0.5,687.0,442.0,816.9045231849313,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,72.03581400317259,85.00052785304072,161.97635126532418,174.6470756085104,202.00435736884904,0.0,38.99062212112524,0.09078844652615145,1260,9
75,final_refine_0p5m,0.5,687.5,441.5,817.0547717258618,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.99945496742463,84.99309413232224,161.99232087240335,174.6751616009289,202.06129523597838,0.0,39.00024850306353,0.09078844652615145,1260,9
76,final_refine_0p5m,0.5,688.0,441.0,817.2056044839634,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.96309220979128,84.98572633080443,162.00841099389004,174.70340139859522,202.1184698618982,0.0,39.009873432001214,0.09016393442622951,1260,9
77,final_refine_0p5m,0.5,688.5,440.5,817.3570211358069,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.9267257118311,84.97842301200926,162.0246220590453,174.73179556544633,202.1758821607206,0.0,39.019496832515024,0.09016393442622951,1260,9
78,final_refine_0p5m,0.5,687.0,441.5,816.6340979900361,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,72.06340319640942,85.05027159198828,162.11783867213475,174.8101826475039,202.215961002813,0.0,39.016717621770475,0.09078844652615145,1260,9
79,final_refine_0p5m,0.5,687.5,441.0,816.7847023542985,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,72.0270624980625,85.04292258103229,162.1340365661044,174.83854620760562,202.27329432157293,0.0,39.02637376647489,0.09078844652615145,1260,9
80,final_refine_0p5m,0.5,688.0,440.5,816.9358909975739,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.99071810051336,85.03563773209675,162.1503556719944,174.86706445410226,202.33086574304906,0.0,39.036028482390606,0.09016393442622951,1260,9
81,final_refine_0p5m,0.5,687.0,441.0,816.3638894512667,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,72.09109269976545,85.10017618950117,162.25972719515326,174.97375956326553,202.42819443635884,0.0,39.04284358074825,0.09078844652615145,1260,9
82,final_refine_0p5m,0.5,687.5,440.5,816.5148498343432,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,72.05477049297268,85.09291228531768,162.27615443224244,175.00240198878754,202.48592509930228,0.0,39.052529550105056,0.09078844652615145,1260,9
