x,y,near_guaranteed_rx,near_near,near_direction_available,near_robust_clear_ready,near_operational_good,near_worst_diameter,far_guaranteed_rx,far_near,far_direction_available,far_robust_clear_ready,far_operational_good,far_worst_diameter,both_operational_good
-500.0,2000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,2100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,2200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,2300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,2400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,2500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,2600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,2700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,2800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,2900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,3000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-400.0,0.0,True,False,True,False,False,inf,False,False,False,False,False,nan,False
-400.0,100.0,True,False,True,False,False,78.56122788031062,False,False,False,False,False,nan,False
-400.0,200.0,True,False,True,False,False,40.5052217022403,False,False,False,False,False,nan,False
-400.0,300.0,True,False,True,True,True,32.25172489182643,False,False,False,False,False,nan,False
-400.0,400.0,True,False,True,True,True,30.19989352345855,False,False,False,False,False,nan,False
-400.0,500.0,True,False,True,True,True,30.46447461253053,False,False,False,False,False,nan,False
-400.0,600.0,True,False,True,True,True,31.845003311218846,False,False,False,False,False,nan,False
-400.0,700.0,True,False,True,True,True,33.84834736003133,False,False,False,False,False,nan,False
-400.0,800.0,True,False,True,True,True,36.23462608678048,False,False,False,False,False,nan,False
