x,y,distance_from_s1,angle_from_first_bearing,coverage_ratio,valid_polygon_ratio,diameter_pass_ratio,circle_coverage_pass_ratio,clear_ready_outcome_ratio,median_diameter,p90_diameter,max_valid_diameter,robust_pass_count,target_count,outcome_count,valid_polygon_count,diameter_pass_count,circle_coverage_pass_count,clear_ready_outcome_count,circle_blocked_diameter_pass_count,undefined_target_count,target_radius
800.0,-1800.0,1969.771560359221,-66.03751102542182,0.0,1.0,0.0,1.0,0.0,86.16576012020415,88.08552305898858,88.38814410026181,0,9,45,45,0,45,0,0,0,1200.0
800.0,-1800.0,1969.771560359221,-66.03751102542182,0.0,1.0,0.0,1.0,0.0,106.54186493252709,109.34740260383936,110.25929397714468,0,9,45,45,0,45,0,0,0,1500.0
900.0,-1800.0,2012.4611797498108,-63.43494882292201,0.0,1.0,0.0,1.0,0.0,74.03301233500765,74.4753510338646,74.5012577585354,0,9,45,45,0,45,0,0,0,300.0
900.0,-1800.0,2012.4611797498108,-63.43494882292201,0.0,1.0,0.0,1.0,0.0,71.2026712753161,71.420069274078,71.43450033734774,0,9,45,45,0,45,0,0,0,600.0
900.0,-1800.0,2012.4611797498108,-63.43494882292201,0.0,1.0,0.0,0.4222222222222222,0.0,70.2756173004015,71.2948336307707,71.2965605616554,0,9,45,45,0,19,0,0,0,900.0
900.0,-1800.0,2012.4611797498108,-63.43494882292201,0.0,1.0,0.0,1.0,0.0,82.9600522338879,84.6876897650898,84.89295320373999,0,9,45,45,0,45,0,0,0,1200.0
900.0,-1800.0,2012.4611797498108,-63.43494882292201,0.0,1.0,0.0,1.0,0.0,101.83906423442751,104.37520507809369,105.10155528353393,0,9,45,45,0,45,0,0,0,1500.0
1000.0,-1800.0,2059.1260281974,-60.94539590092286,0.0,1.0,0.0,1.0,0.0,77.10525947500595,77.64095824206598,77.6761047883289,0,9,45,45,0,45,0,0,0,300.0
1000.0,-1800.0,2059.1260281974,-60.94539590092286,0.0,1.0,0.0,1.0,0.0,73.61546261181462,73.91121418831312,73.93634375352676,0,9,45,45,0,45,0,0,0,600.0
1000.0,-1800.0,2059.1260281974,-60.94539590092286,0.0,1.0,0.0,1.0,0.0,71.97327545395775,72.05386794821364,72.05709388205948,0,9,45,45,0,45,0,0,0,900.0
1000.0,-1800.0,2059.1260281974,-60.94539590092286,0.0,1.0,0.0,1.0,0.0,80.12736612075321,81.68157485714647,81.80306712164936,0,9,45,45,0,45,0,0,0,1200.0
1000.0,-1800.0,2059.1260281974,-60.94539590092286,0.0,1.0,0.0,1.0,0.0,97.54140463680693,99.83754252628569,100.39746304550405,0,9,45,45,0,45,0,0,0,1500.0
1100.0,-1800.0,2109.5023109728986,-58.57043438516149,0.0,1.0,0.0,1.0,0.0,80.56427942596585,81.20247931642565,81.24831831910772,0,9,45,45,0,45,0,0,0,300.0
1100.0,-1800.0,2109.5023109728986,-58.57043438516149,0.0,1.0,0.0,1.0,0.0,76.40809600933368,76.78868736025257,76.82762313816605,0,9,45,45,0,45,0,0,0,600.0
1100.0,-1800.0,2109.5023109728986,-58.57043438516149,0.0,1.0,0.0,1.0,0.0,74.0736228769184,74.22797459142328,74.23887429898592,0,9,45,45,0,45,0,0,0,900.0
1100.0,-1800.0,2109.5023109728986,-58.57043438516149,0.0,1.0,0.0,1.0,0.0,77.65885114787932,79.05527482962609,79.10605688337708,0,9,45,45,0,45,0,0,0,1200.0
1100.0,-1800.0,2109.5023109728986,-58.57043438516149,0.0,1.0,0.0,1.0,0.0,93.64154498903888,95.72409514444072,96.13605840694008,0,9,45,45,0,45,0,0,0,1500.0
1200.0,-1800.0,2163.3307652783938,-56.309932474020215,0.0,1.0,0.0,1.0,0.0,84.41062131043651,85.16163007886071,85.21961952574219,0,9,45,45,0,45,0,0,0,300.0
