rank,x,y,distance_from_s1,angle_from_first_bearing,coverage_ratio,valid_polygon_ratio,diameter_pass_ratio,circle_coverage_pass_ratio,clear_ready_outcome_ratio,median_diameter,p90_diameter,max_valid_diameter,robust_pass_count,target_count,outcome_count,valid_polygon_count,diameter_pass_count,circle_coverage_pass_count,clear_ready_outcome_count,circle_blocked_diameter_pass_count,undefined_target_count
36,450.0,400.0,602.0797289396148,41.6335393365702,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,52.54397651390799,205.65668810174964,316.0812250177801,108,270,1350,1350,585,1324,559,26,0
37,450.0,-450.0,636.3961030678928,-45.0,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,51.09011219157425,187.42052361107656,278.5698896763247,108,270,1350,1350,585,1324,559,26,0
38,450.0,450.0,636.3961030678928,45.0,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,51.09011219157439,187.42052361107565,278.5698896763272,108,270,1350,1350,585,1324,559,26,0
39,550.0,-350.0,651.9202405202649,-32.47119229084849,0.4,1.0,0.46074074074074073,0.9807407407407407,0.4414814814814815,43.8501474027545,199.52905137688228,317.42412262948335,108,270,1350,1350,622,1324,596,26,0
40,550.0,350.0,651.9202405202649,32.47119229084849,0.4,1.0,0.46074074074074073,0.9807407407407407,0.4414814814814815,43.85014740275445,199.52905137688376,317.42412262948267,108,270,1350,1350,622,1324,596,26,0
41,450.0,-500.0,672.6812023536855,-48.01278750418334,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,50.2337484391344,173.22375352905772,250.54448699993003,108,270,1350,1350,585,1324,559,26,0
42,450.0,500.0,672.6812023536855,48.01278750418334,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,50.23374843913474,173.2237535290564,250.54448699993225,108,270,1350,1350,585,1324,559,26,0
43,450.0,-550.0,710.6335201775947,-50.71059313749964,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,49.80425009035257,161.39845735991466,228.95869176240342,108,270,1350,1350,585,1324,559,26,0
44,450.0,550.0,710.6335201775947,50.71059313749964,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,49.804250090352326,161.39845735991403,228.95869176240518,108,270,1350,1350,585,1324,559,26,0
45,600.0,-400.0,721.1102550927978,-33.690067525979785,0.4,1.0,0.44666666666666666,0.9807407407407407,0.4274074074074074,42.35724130809739,166.61914798563834,254.33755902768794,108,270,1350,1350,603,1324,577,26,0
